Nama File,Hasil OCR,Kategori,Method
jago_100,"Internet Rumah
 BOGOR
 Pembayaran layanan periode berjalan
 ID Transaksi
 6NM8MG6VKF
 Sumber akun
 KEZIA AUREL WINATA
 Jago C36LAEDCNRB7
 Sumber Dana
 NQU9AF7T4FSW
 Nama Acquirer
 Tanggal & waktu transaksi
 27 Okt 2025, 16:12 WIB
 BCA
 Biaya
 Gratis
 3 Jago
 PAN Penyedia
 UBEG3GU2EBAPPD8234E
 ID Terminal
 AO1
 PAN Pelanggan
 NTXFVXA4HJRGAD79MN6
 oco
 Nomor Referensi
 1ibwogq03770
 Resi
 o Jago
 Ini
 ogeo Jago
 oSkses
 Ada pertanyaan?
 k
 o Jago
 merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Bills,Qris
jago_101,"Telkom/IndiHome
 BCA H34PATVBPM
 Pembayaran iuran periode berjalan
 ID Transaksi
 3 Jago
 Sumber akun
 GCKP6SAXU2EEFPRAZZ7J8J
 KEZIA AUREL WINATA
 Jago MKVQRNLN28F4
 Jago
 12 Okt 2025. 01:05 WIB
 Jago
 Tanggal & waktu transaksi
 Ada pertanyaan?
 Da
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 Jago",Bills,Transfer
jago_102,"PDAM Kota
 Rp26.128 Jago
 Pembayaran tagihan periode berjalan
 3S49UMEJQ8
 Sumber akun
 KEZIA AUREL WINATA
 Jago ETPPBET46RDC
 Sumber Dana
 ZJFZJ6XJCB8Y
 Nama Acquirer
 Tanggal 8& waktu transaksi
 20 Okt 2025, 16:55 WIB
 GoPay
 3 Jago
 Biaya
 Gratis
 ID Terminal
 Jago
 PAN Penyedia
 CBE8EVWJEE6ZCJXYF8E
 A01
 PAN Pelanggan
 4B9A22AEFFHS4X2767F
 Nomor Referensi
 li4aqp983354
 Jago
 oco Jago
 aco Jago
 SO
 oco Jago
 ago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Bills,Qris
jago_103,"Layanan Kebersihan
 KEZIA AUREL WINATA
 Pembayaran tagihan periode berjalan
 Rp94.270
 Sumber akun
 ID Transaksi
 omTjónulLWbppsYL3W
 KEZIA AUREL WINATA
 Jago
 Jago LX69RW3SN5NP
 Jago
 Tanggal & waktu transaksi
 oo Jago
 07 Nov 2025, 12:12 WIB
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Bills,Transfer
jago_104,"Iuran Lingkungan
 GALEN
 Bayar utilitas periode berjalan
 Rp31.852
 go
 3 Jago
 ID Transaksi
 Sumber akun
 P429W6WECTCTYVBJ37NBTR
 KEZIA AUREL WINATA
 Jago DH6GZENN8SMA
 Jago
 sgo
 Tanggal & waktu transaksiO
 05 Sep 2025, 15:35 WIB
 Jago
 oco Jago
 MG
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 sgo",Bills,Transfer
jago_105,"PLN Pascabayar
 NEISHA
 Pelunasan tagihan periode berjalan
 Rplo.O
 Transaksi
 3 Jago
 Sumber akun
 NA2X7WPGHPR2FVWSBYFC6X
 KEZIA AUREL WINATA
 Jago T9BPE5CMXJ8K
 Jago
 Jego
 Tanggal & waktu transaksi
 10 Okt 2025, 16:50 WIB
 Jago
 oco Jago
 JN
 Ada pertanyaan?
 O Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 sgo",Bills,Transfer
jago_106,"Layanan Kebersihan
 KURNIAWAN
 Pembayaran iuran periode berjalan
 3 Jago
 Rp35.215
 go
 ID Transaksi
 Sumber akun
 250903.HA2BC3H9FLE743TR
 KEZIA AUREL WINATA
 Jago
 Jago JX58WGN4BSJB
 Jago
 Tanggal & waktu transaksi
 03 Sep 2025, 09:5O WIB
 co Jago
 Dk
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 sgo",Bills,Transfer
jago_107,"PLN Pascabayar
 Rp24.141
 Pelunasan tagihan periode berjalan
 UWYR9G9HSN
 Sumber akun
 KEZIA AUREL WINATA
 Jago 5B24LPPPJQYM
 Sumber Dana
 WNPNGJRJFS2G
 Nama Acquirer
 3 Jago
 Tanggal 8 waktu transaksi
 21 Sep 2025, 00:45 WIB
 BCA
 Biaya
 Gratis
 ID Terminal
 A2ADO267
 o Jago
 PAN Penyedia
 4JN3BGNYZHXNE8GBC8K
 Nomor Referensi
 PAN Pelanggan
 HPMLUGDJ7EGW375Y5PZ
 1h7suja25502
 Jago
 aoo Jago
 oco Jago
 DM
 Ada pertanyaan?
 Jago
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Bills,Qris
livin_108,"PLN Pascabayar
 liyin
 Transfer Rupiah
 Transfer Berhasil!
 18 Nov 2023- 21:25:22 WIB No. Ref.
 7ZZ3NLGAWF3NXSTHL3
 Penerima
 SMARTFREN TELECOM
 Bank Mandiri -PMEXV8GAYDQTV
 Detail Transaksi: Pelunasan tagihan periode berjalan
 Metode Transfer
 NO0 43.0,ul 4| 38%
 Total Transaksi
 Rekening Sumber
 NOER ICHWANI
 Bank Mandiri
 ||
 Catatan Transaksi
 Sesama Bank Mandiri
 .1146
 Rp 327.294
 X",Bills,Transfer
livin_109,"Iuran Lingkungan
 Top-up Berhasil
 Pelunasan tagihan periode berjalan
 No Meter
 IDPEL
 Nama
 TARIF/DAYA
 No Ref
 Rp Bayar
 Meterai
 Struk Pembelian Listrik Prabayar
 PPn
 PPi
 Angsuran
 Rp Stroom/Token
 JML KWH
 STROOM/TOKEN
 Admin Bank
 56:
 O00814C
 1931
 52
 DENI SAPUTRO
 1407
 R1/E29PH3BHGRS
 45
 67
 130
 63DN2AGSSTX4
 Rp 241.524
 Rp 1.000,00
 Rp 1.000,00
 Rp 17.425,00
 Rp ),00
 Rp 206.203,00
 127,1
 Informasi Hubungi Call Center 123 Atau
 hubungi PLN Terdekat
 6681 8043
 1894
 Rp 2.906",Bills,Transfer
livin_110,"PLN Pascabayar
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 06 Jul 2024 - 15:15:25 WIB- No. Ref.
 L28L9D594U3VZU8TUUB
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - CL42DW3DWEQ
 Detail Transaksi: Pembayaran iuran periode berjalan
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 J MILA HARDIANI C
 Sesama Bank Mandiri
 Bank Mandiri -.......9019
 Catatan Transaksi
 Uang saku Juli 24
 Rp 631.674",Bills,Transfer
livin_111,"BPJS Kesehatan
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 23 Jul 2025 - 23:40:57 WIB · No. Ref. 7KRHD47HPDYKHZ6J47S
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri -4ZJUJR8HVYTT
 Detail Transaksi: Pembayaran tagihan periode berjalan
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -........9019
 Catatan Transaksi
 Sesama Bank Mandiri
 Laundry
 Rp 438.447",Bills,Transfer
livin_112,"Iuran Lingkungan
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 06 Sep 2025 · 08:25:28 WIB No. Ref.
 RNRNCDATS5BCGQTEFLR
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 8YPXX9JEH6P6
 Detail Transaksi: Pelunasan tagihan periode berjalan
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -
 .9001
 Catatan Transaksi
 Uang saku tahap 2
 Sesama Bank Mandiri
 Rp 1.309.154",Bills,Transfer
livin_113,"Telkom/IndiHome
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 27 Sep 2025- 21:15:45 WIB . No. Ref. WUM5ZG7WFF597VAEVPF
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri -V9WUKQYWZHW6
 Detail Transaksi: Bayar utilitas periode berjalan
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -........9019
 Sesama Bank Mandiri
 Catatan Transaksi
 Uang saku buat Okt 25 tahap 1
 Rp 1.901.263",Bills,Transfer
livin_114,"Internet Rumah
 Transfer
 Transfer Berhasil!
 10 Des 2022 ·16:00:06 WIB - No. Ref.
 WQ3RFZZBZ32NZ2KMMF7
 Penerima
 DIDIT AZHARI
 Bank Rakyat Indonesia - 76740
 Detail Transaksi: Pembayaran layanan periode berjalan
 Nominal Transfer
 Metode Transfer
 Tujuan Transaksi
 Biaya Transaksi
 Total Transaksi
 Rekening Sumber
 DIDIT AZHARI
 Bank Mandiri - . ......4371
 Catatan Transaksi
 39
 Rp 2.304.718
 BI Fast
 Lainnya
 Rp 2.281
 Rp 1.619.806",Bills,Transfer
ovo_115,"Layanan Kebersihan
 X
 Aktivitas
 Detail Transaksi: Pelunasan tagihan periode berjalan
 Tanggal
 OVO Cash Terpakai
 Waktu
 Pembayaran Berhasil
 No. Referensi
 Rp16.945
 Nominal Pembayaran
 Total
 Biaya Transaksi
 pembayaran utilitas
 pembayaran utilitas
 OA 82
 D:aas Daa
 Tutup
 Rp19.578
 20 Sep 2025
 13:05
 Oa84b099445648ee...
 Rpl6.500
 Rp1.000
 Rpl6.500",Bills,E-Wallet
ovo_116,"Iuran Lingkungan
 X
 Aktivitas
 Detail Transaksi: Pembayaran layanan periode berjalan
 Tanggal
 OVO Nabung Terpakai
 Waktu
 Pembayaran Berhasil
 No. Referensi
 Rp36.427
 Nominal Pembayaran
 Biaya Transaksi
 Total
 D.nnt Dnnan
 Gra
 pembayaran utilitas
 Tutup
 l42
 Rp40.219
 08 Oct 2025
 oVO Nabung by S superbank
 d90bflf6f5bf4cf888b..
 10:05
 Rp36.886
 Rp1.000
 Rp33.266",Bills,E-Wallet
