Nama File,Hasil OCR,Kategori,Method
shopee_300,"ShopeePay
 12.00
 Bayar Ke
 by. by.U
 Rincian Pembayaran
 Order SN ATK3ENfch3zdL
 Waktu Selesai 04-01-2024 12:00
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP24010403703701000O0
 Berhasil
 Total
 -Rp 15.000",Bills,E-Wallet
shopee_301,"ShopeePay
 15.07
 Bayar Ke
 by. MyTelkomsel
 Rincian Pembayaran
 761-5**-**83
 Waktu Selesai 05-02-2025 15:07
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25020503716046677O9
 Berhasil
 Total
 -Rp 111.000",Bills,E-Wallet
shopee_302,"ShopeePay
 18.14
 Bayar Ke
 by. PLN Pascabayar
 Rincian Pembayaran
 IDPEL 541234567890
 Waktu Selesai 06-03-2024 18:14
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP24030603728392344O8
 Berhasil
 Total
 -Rp 425.000",Bills,E-Wallet
shopee_303,"ShopeePay
 21.21
 Bayar dengan QRIS
 Rincian Pembayaran
 PDAM
 No. Pelanggan 0900123456
 Waktu Selesai 07-04-2025 21:21
 Metode Pembayaran
 QRIS
 Merchant Ref ID
 SP25040703740738011O7
 Berhasil
 Total
 Rp 185.000",Bills,Qris
shopee_304,"ShopeePay
 00.28
 Bayar Ke
 by. PGN Gas
 Rincian Pembayaran
 ID Pelanggan 7001234567
 Waktu Selesai 08-05-2024 00:28
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP24050803753083688O6
 Berhasil
 Total
 -Rp 98.000",Bills,E-Wallet
shopee_305,"ShopeePay
 03.35
 Bayar Ke
 by. Shopee Listrik
 Rincian Pembayaran
 IDPEL 193152DENI
 Waktu Selesai 09-06-2025 03:35
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25060903765429355O5
 Berhasil
 Total
 -Rp 350.000",Bills,E-Wallet
shopee_306,"ShopeePay
 Bukti Pembayaran
 10 Jul 2024 · 06:42:06 WIB
 Virtual Account
 Produk: by.U
 VA: 0000000002795922
 Rincian
 Bayar paket data
 Total
 Rp 15.000
 ID: SP24071003777775022O4
 Berhasil",Bills,Virtual Account
shopee_307,"ShopeePay
 09.49
 Bayar Ke
 by. MyTelkomsel
 Rincian Pembayaran
 761-5**-**83
 Waktu Selesai 11-08-2025 09:49
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25081103790120699O3
 Berhasil
 Total
 -Rp 111.000",Bills,E-Wallet
shopee_308,"ShopeePay
 12.56
 Bayar dengan QRIS
 Rincian Pembayaran
 PLN Pascabayar
 IDPEL 541234567890
 Waktu Selesai 12-09-2024 12:56
 Metode Pembayaran
 QRIS
 Merchant Ref ID
 SP24091203802466366O2
 Berhasil
 Total
 Rp 425.000",Bills,Qris
shopee_309,"ShopeePay
 15.03
 Bayar Ke
 by. PDAM
 Rincian Pembayaran
 No. Pelanggan 0900123456
 Waktu Selesai 13-10-2025 15:03
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25101303814812033O1
 Berhasil
 Total
 -Rp 185.000",Bills,E-Wallet
