Nama File,Hasil OCR,Kategori,Method
jago_100,"Dompet Dhuafa
JAKARTA SELATAN
Rp5.00o Jago
ID T
4332181960
Sumber akun
ANDI SAPUTRA
Jago 133890838637
Sumber Dana
133890838637
Nama Acquirer
Tanggal 8& waktu transaksi
25 Jan 2025, 05:44 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
6542351161559407816
ID Terminal
A01
PAN Pelanggan
1849593103413164752
ago Jago
Resi
Nomor Referensi
5iók53419283
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_101,"BAZNAS
JAKARTA PUSAT
Rp75.00o Jago
ID T
6483503056
Sumber akun
BIMA PRATAMA
Jago 139537672423
Sumber Dana
139537672423
Nama Acquirer
Tanggal 8& waktu transaksi
19 Des 2025, 13:57 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
9653287101226916697
ID Terminal
A01
PAN Pelanggan
8480184514627048281
ago Jago
Resi
Nomor Referensi
4iók89325288
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_102,"Rumah Zakat
BANDUNG
Rp30.00o Jago
ID T
7015430391
Sumber akun
ANDI SAPUTRA
Jago 718227824896
Sumber Dana
718227824896
Nama Acquirer
Tanggal 8& waktu transaksi
25 Sep 2025, 23:44 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
3465787133150983930
ID Terminal
A01
PAN Pelanggan
1031051834738299737
ago Jago
Resi
Nomor Referensi
6iók31165667
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_103,"Rumah Zakat
BANDUNG
Rp10.00o Jago
ID T
0651333872
Sumber akun
NADIA PUTRI
Jago 247317810801
Sumber Dana
247317810801
Nama Acquirer
Tanggal 8& waktu transaksi
14 Mar 2025, 15:30 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
3602606474687234309
ID Terminal
A01
PAN Pelanggan
8050097882081219136
ago Jago
Resi
Nomor Referensi
1iók93990916
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_104,"Laz Al Azhar
BEKASI
Rp100.00o Jago
ID T
5435346247
Sumber akun
BIMA PRATAMA
Jago 107991183842
Sumber Dana
107991183842
Nama Acquirer
Tanggal 8& waktu transaksi
8 Feb 2025, 11:18 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
2784980841241182449
ID Terminal
A01
PAN Pelanggan
3534874016400524278
ago Jago
Resi
Nomor Referensi
6iók80112805
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_105,"Laz Al Azhar
BEKASI
Rp100.00o Jago
ID T
2620450533
Sumber akun
ANDI SAPUTRA
Jago 586923226025
Sumber Dana
586923226025
Nama Acquirer
Tanggal 8& waktu transaksi
28 Nov 2025, 23:51 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
3421607337543303654
ID Terminal
A01
PAN Pelanggan
1458685014294019655
ago Jago
Resi
Nomor Referensi
6iók98169340
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_106,"Kitabisa
JAKARTA PUSAT
Rp5.00o Jago
ID T
8835615951
Sumber akun
BIMA PRATAMA
Jago 846564823662
Sumber Dana
846564823662
Nama Acquirer
Tanggal 8& waktu transaksi
18 Jul 2025, 00:19 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
4369957773872148951
ID Terminal
A01
PAN Pelanggan
3433200379176936763
ago Jago
Resi
Nomor Referensi
2iók01632870
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_107,"PPPA Daarul Qur'an
TANGERANG
Rp20.00o Jago
ID T
1727889579
Sumber akun
RANGGA WIRAWAN
Jago 687277434873
Sumber Dana
687277434873
Nama Acquirer
Tanggal 8& waktu transaksi
3 Agu 2025, 22:18 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
3455812236231665876
ID Terminal
A01
PAN Pelanggan
0366909670546688937
ago Jago
Resi
Nomor Referensi
3iók46706562
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_108,"Rumah Yatim
BOGOR
Rp15.00o Jago
ID T
9806990162
Sumber akun
NADIA PUTRI
Jago 204653755646
Sumber Dana
204653755646
Nama Acquirer
Tanggal 8& waktu transaksi
16 Feb 2025, 00:47 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
8053100330923271937
ID Terminal
A01
PAN Pelanggan
4529912419049663193
ago Jago
Resi
Nomor Referensi
1iók49190586
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
jago_109,"ACT
BANDAR LAMPUNG
Rp10.00o Jago
ID T
8506716572
Sumber akun
NADIA PUTRI
Jago 284987769453
Sumber Dana
284987769453
Nama Acquirer
Tanggal 8& waktu transaksi
15 Mei 2025, 07:48 WIB
GoPay
Biaya
Gratis
3 Jago
PAN Merchant
7996507527354549480
ID Terminal
A01
PAN Pelanggan
8313678377701436349
ago Jago
Resi
Nomor Referensi
5iók78856855
Ini
,ago Jagoo Jago
oSukses
oge Jago
AG
Ada pertanyaan?
,Jago
oo Jago
merupakan bukti transaksi yang sah
Hubungi Tanya Jago 24/7",Donations,QRIS
