Nama File,Hasil OCR,Kategori,Method
jago_100,"Panti Asuhan
 BOGOR
 Kontribusi bantuan bencana
 ID T
 UT2ARB6KKW
 Sumber akun
 KEZIA AUREL WINATA
 Jago DHC5UPEZ8JBH
 Sumber Dana
 MDTWQBM5DV3K
 Nama Acquirer
 Tanggal 8& waktu transaksi
 22 Okt 2025, 08:25 WIB
 GoPay
 Biaya
 Gratis
 3 Jago
 PAN Lembaga
 F4B93QBFJE735TBA7WM
 ID Terminal
 A01
 PAN Pelanggan
 ECGJ4F4GRQ5Z746FTPR
 ago Jago
 Resi
 Nomor Referensi
 1iók53529725
 Ini
 ,ago Jagoo Jago
 oSukses
 oge Jago
 AG
 Ada pertanyaan?
 ,Jago
 oo Jago
 merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Donations,Qris
jago_101,"Rumah Singgah
 Rp10.338
 Dukungan untuk lembaga amal
 6FPLPBQM8R
 Sumber akun
 KEZIA AUREL WINATA
 Jago K9XHQ2H6N93Y
 Sumber Dana
 YBMKKM4ECYP3
 Nama Acquirer
 Bank Mandiri
 Tanggal & waktu transaksi
 27 Sep 2025. 15:15 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 A01
 PAN Lembaga
 VUKS2QHT4V39RG86Q8M
 Nomor Referensi
 Ihehj7w15918
 Jago
 o Jago
 Jago
 oe Jago
 Jago
 Uy
 oo Jago
 lago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Donations,Qris
jago_102,"Donasi Bencana Alam
 HENDRA
 Sedekah untuk kegiatan kemanusiaan
 Rp15.389
 go
 ID Transaksi
 3 Jago
 Sumber akun
 QL3KB2BQTBR2MCWM9ECNZM
 KEZIA AUREL WINATA
 Jago F6BVGV2EW6ZM
 Jago
 11 Okt 2025. 02:05 WIB
 Tanggal & waktu transaksiO
 Jago
 ose Jogo
 BH
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 sgo",Donations,Transfer
jago_103,"Rumah Singgah
 BOGOR
 Donasi rutin bulanan
 1O Transa
 MSLFEAWVWW
 ND5HBKTTYL83
 Tanggal & waktu
 31 Okt 2025. 19:00 WIB
 Nama Acquirer
 BCA
 Biaya
 Gratis
 3 Jago
 ID Terminal
 PAN Lembaga
 STLRBTDNWUUSUTUFESV
 A01
 Nomor Referensi
 1igmy0130420
 PAN Pelanggan
 AZQZ464QCNDUZBM94F8
 Resi
 Ini
 Jago
 transaksi
 o Jago Jago
 geo Jago
 ,Jago
 Ada pertanyaan?
 Sukses
 oo Jago
 merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Donations,Qris
jago_104,"Donasi Bencana Alam
 BOGOR
 Donasi rutin bulanan
 ID Transaksi
 FBFT652TCK
 Sumber akun
 KEZIA AUREL WINATA
 Jago F32Y8NZFLUPM
 Sumber Dana
 T99FRQLBFFTW
 Nama Acquirer
 Tanggal & waktu transaksi
 27 Okt 2025, 15:20 WIB
 BCA
 Biaya
 Gratis
 3 Jago
 PAN Lembaga
 MJSKLYA9FFEHYKFNTZR
 ID Terminal
 AO1
 PAN Pelanggan
 KVFLEM7RPS8PUFY49Y6
 oco
 Nomor Referensi
 1ibwogq03770
 Resi
 o Jago
 Ini
 ogeo Jago
 oSkses
 Ada pertanyaan?
 k
 o Jago
 merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Donations,Qris
jago_105,"Panti Asuhan
 BOGOR
 Dukungan untuk lembaga amal
 ID Transaksi
 KGB6KU587K
 Sumber akun
 KEZIA AUREL WINATA
 Jago WQFYFHUUSRXP
 Sumber Dana
 75E7QG5K3JGB
 Tanggal & waktu transaksi
 01 Nov 2025, 09:00 WIB
 Nama ACquirer
 GoPay
 Biaya
 Gratis
 PAN Lembaga
 RN4X3R47UT3C5VNYMLC
 PAN Pelanggan
 3D8D84TL6J65HR8BFNK
 ID Terminal
 A01
 Nomor Referensi
 lihmf2752647
 Ada pertanyaan?
 SO
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 Sukses",Donations,Qris
jago_106,"Donasi Kemanusiaan
 Rp2.530
 Kontribusi bantuan bencana
 Z7XSWZQEPB
 Sumber akun
 KEZIA AUREL WINATA
 Jago 3AF7JAL93DGF
 Sumber Dana
 NPMG2JLDFMCB
 Nama Acquirer
 BCA
 Tanggal & waktu transaksi
 21 Sep 2025. 04:15 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 PAN Lembaga
 XESSDMYT6H76YRU6AEC
 A01
 Jago
 o Jago
 Nomor Referensi
 Ih7zf2g11015
 PAN Pelanggan
 4XNSBSA6KSMQ6LL8NEE
 e Jago
 aco Jago
 e Jago
 KT
 Ada pertanyaan?
 lago
 Hubungi Tanya Jago 24/7
 Resi ini merupakan bukti transaksi yang sah
 Jago",Donations,Qris
jago_107,"Zakat & Sedekah
 Rp27.086
 Sedekah untuk kegiatan kemanusiaan
 QC7MX6V4DG
 Sumber akun
 KEZIA AUREL WINATA
 Jago QTAAYBS7XWNN
 Sumber Dana
 YRNDJN3TWPZL
 22 Okt 2025, 17:25 WIB
 Nama Acquirer
 Tanggal & waktu transaksi
 BCA
 3 Jago
 Biaya
 Gratis
 PAN Lembaga
 FU69TB2CZH64AF3DGUE
 ID Terminal
 A01
 Nomor Referensi
 Jago
 PAN Pelanggan
 FSNPP586GSHTQKR4Y9N
 li6hr2i88006
 Jago
 o Jago
 ooo Jago
 KT
 Aago
 aoo Jago Jago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Donations,Qris
livin_108,"Zakat & Sedekah
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 09 Nov 2024 · 00:12:26 WIB No. Ref.
 KGPSE3ZB3PZFAFC4P7Y
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - QTM832N5FV5
 Detail Transaksi: Dukungan untuk lembaga amal
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 Sesama Bank Mandiri
 JEANNETTE MILA HARDI
 Bank Mandiri -........1725
 Catatan Transaksi
 Beli bahan tugas
 Rp 88.585",Donations,Transfer
livin_109,"Infaq Masjid
 liyin
 Transfer Rupiah
 Transfer Berhasil!
 18 Nov 2023- 13:50:22 WIB No. Ref.
 G2Q6QD27YEKMJFRWX6
 Penerima
 SMARTFREN TELECOM
 Bank Mandiri -LJ6B4SPU2BV4Q
 Detail Transaksi: Donasi rutin bulanan
 Metode Transfer
 NO0 43.0,ul 4| 38%
 Total Transaksi
 Rekening Sumber
 NOER ICHWANI
 Bank Mandiri
 ||
 Catatan Transaksi
 Sesama Bank Mandiri
 .1146
 Rp 338.242
 X",Donations,Transfer
