Nama File,Hasil OCR,Kategori,Method
jago_100,"Pembayaran SPP Sekolah
 Rp5.069
 Pembayaran ujian/sertifikasi
 3KCJHQJKCD
 Sumber akun
 KEZIA AUREL WINATA
 Jago 64PFHB3XNPX3
 Sumber Dana
 RPP4DDMYJPK2
 Nama Acquirer
 Tanggal & waktu transaksi
 24 Sep 2025, 01:35 WIB
 BCA
 Biaya
 Gratis
 3 Jago
 ID Terminal
 jago
 PAN Penyedia
 6PP5ZNXQ8CSXUX38WPG
 A01
 PAN Pelanggan
 VMUFMNBZG3UVNH7NX63
 Nomor Referensi
 lhawvgn49807
 Jago
 Jago
 aco Jago
 Ky
 oo Jago
 lago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Education,Qris
jago_101,"Universitas Negeri
 BCA XLK8D9TZ9C
 Pembayaran kelas tambahan
 ID Transaksi
 3 Jago
 9J9BS98YRAG2U6MCJHDPNV
 Sumber akun
 KEZIA AUREL WINATA
 Jago 73QN7V7WJZHY
 Tanggal & waktu transaksi
 17 Okt 2025, 23:12 WIB
 Jago
 Jagoo Jago
 JD
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Education,Transfer
jago_102,"Pelatihan Sertifikasi
 Rp18.574
 Pembayaran ujian/sertifikasi
 H5PKR2VP5V
 Sumber akun
 KEZIA AUREL WINATA
 Jago RTCC8TSN5ZP3
 Sumber Dana
 62NRPWYVZHPE
 Nama Acquirer
 3 Jago
 Tanggal & waktu u transaksi
 22 Sep 2025, 17:12 WIB
 BCA
 Biaya
 Gratis
 Jago
 ID Terminal
 A01
 Jago
 PAN Penyedia
 896TM4CE8KV8AAT2TUV
 Nomor Referensi
 1h8ouli04162
 PAN Pelanggan
 RV3QRKWGNBZ9V8SV23P
 Jago
 Saoo Jago
 Saoo Jago
 Jago
 DE
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Education,Qris
jago_103,"Lembaga Bahasa
 D
 Pembayaran biaya pendidikan
 Rp80.254
 ID
 Transaksi
 D4WTGDWR95
 Sumber akun
 KEZIA AUREL WINATA
 Jago DVWC4Q6KEB98
 Sumber Dana
 88AXRLF7YD3W
 Nama Acquirer
 Bank Mandiri
 Tanggal & wae I transaksi
 26 Okt 2025, 22:55 WIB
 Biaya
 Gratis
 3 Jago
 OID Terminal
 93083866
 PAN Penyedia
 4QD6C463JW5RSF7DJVN
 Jago
 Saoo JagopJago
 PAN Pelanggan
 27QTXX4WT64XEMQSLHG
 Nomor Referensi
 liap2dm13999
 Resi
 ini
 e Jago Jago
 Jagooo Jagoo Jago
 AD
 merupakan bukti transaksi y
 Ada pertanyaan?
 yang sah
 Hubungi Tanya Jago 24/7",Education,Qris
jago_104,"Pelatihan Sertifikasi
 Rp14.388
 Pembayaran kelas tambahan
 NFGX98YK58
 Sumber akun
 KEZIA AUREL WINATA
 Jago SWWVDWHQMSJV
 Sumber Dana
 6WSELKK8K57M
 Nama Acquirer
 Tanggal & waktu transaksi
 29 Sep 2025, 03:05 WIB
 BCA
 Biaya
 3 Jago
 Gratis
 ID Terminal
 o Jago
 PAN Penyedia
 JY29N8XA9ZNJ8VLPG79
 PAN Pelanggan
 JEULEGBDYMREZ44VDV3
 A01
 Nomor Referensi
 Ihggwcn59484
 Jago
 aco Jago
 Jago
 DE
 Ada pertanyaan?
 ago
 Hubungi Tanya Jago 24/7
 Resi ini merupakan bukti transaksi yang sah
 Jago",Education,Qris
jago_105,"Universitas Negeri
 BOGOR
 Pembayaran ujian/sertifikasi
 ID Transaksi
 CYEK3UGWRR
 Sumber Dana
 Sumber akun
 KEZIA AUREL WINATA
 Jago 8Y45LSARPBKG
 N9QY7LU7ZQTY
 Nama Acquirer
 GoPay
 Tanggal & waktu transaksi
 05 Nov 2025, 08:15 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 A01
 Jago
 go Jago
 PAN Penyedia
 T7X2N54CB7X84F79BAR
 Nomor Referensi
 1im4ne539515
 Resi
 PAN Pelanggan
 D3U3TF6RL6R3M9QJTXC
 Ini
 oge Jago
 oge Jago
 Ada pertanyaan?
 So
 lago
 o Jago
 Sukses
 oco Jago
 Hubungi Tanya Jago 24/7
 merupakan bukti transaksi yang sah",Education,Qris
jago_106,"Universitas Negeri
 Rp15.079
 Pembayaran biaya pendidikan
 7G6H72VLEX
 Sumber akun
 KEZIA AUREL WINATA
 Jago UZTJHKSEEP9C
 Sumber Dana
 6PSGD2DCCNKS
 Nama Acquirer
 Tanggal & waktu u transaksi
 20 Sep 2025, 17:00 WIB
 GoPay
 Biaya
 3 Jago
 Gratis
 ID Terminal
 PAN Penyedia
 FFEEJW2UWHZDL59Q8QB
 A01
 Jago
 PAN Pelanggan
 YRQKD7KH3ZFS8XU3YG2
 Nomor Referensi
 Ih719hd19137
 Jago
 Jago
 oeo Jago
 Jago
 SO
 oco Jago
 ago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Education,Qris
jago_107,"Bimbel & Kursus
 Rp10.809
 Pembayaran kelas tambahan
 H9JNYNXBST
 Sumber akun
 KEZIA AUREL WINATA
 Jago UZPWNF5WSKR7
 Sumber Dana
 CVYXSSY5AP6W
 Nama Acquirer
 BCA
 3 Jago
 Tanggal & waktu transaksi
 25 Sep 2025, 18:50 WIB
 Biaya
 Gratis
 ID Terminal
 Jago
 A01
 Jago
 PAN Penyedia
 VWZ3A3CAFVP4585WMGD
 Nomor Referensi
 lhcOp1795695
 PAN Pelanggan
 FN2F59TLGR5Y4DTSMBW
 Jago
 Sco Jago
 ao Jago
 ooo Jago
 DF
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Education,Qris
livin_108,"Universitas Negeri
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 09 Nov 2024 · 22:15:26 WIB No. Ref.
 3KZNUB5L6LUN7E7C7XV
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 4GJWBN8ADZ9
 Detail Transaksi: Pembayaran kelas tambahan
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 Sesama Bank Mandiri
 JEANNETTE MILA HARDI
 Bank Mandiri -........1725
 Catatan Transaksi
 Beli bahan tugas
 Rp 81.246",Education,Transfer
livin_109,"Pelatihan Sertifikasi
 Transfer Rupiah
 Transfer Berhasil!
 19 Nov 2024 · 11:10:53 WIB
 Penerima
 ALBERT GIVANNO CAHYO UTOMO
 Bank Rakyat Indonesia - GQRB28RTXT2KV9WJ
 Detail Transaksi: Pembayaran ujian/sertifikasi
 Nominal Transfer
 Metode Transfer
 No. Referensi
 BI Fast
 Tujuan Transaksi
 Biaya Transaksi
 Total Transaksi
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -
 Y9NRYUUSSDTTQEMPY9
 DHPAY5D22M87
 ...9001
 Catatan Transaksi
 Rp 11.353.031
 Cicilan Unpar ke 4 Albert
 BI Fast
 Lainnya
 Rp 2.770
 Rp 11.233.325",Education,Transfer
