Nama File,Hasil OCR,Kategori,Method
jago_100,"Bioskop Lokal
 KEZIA AUREL WINATA
 Top up saldo game
 Rp98.340
 Sumber akun
 ID Transaksi
 omTjónulLWbppsYL3W
 KEZIA AUREL WINATA
 Jago
 Jago C546CX9HZBKF
 Jago
 Tanggal & waktu transaksi
 oo Jago
 07 Nov 2025, 03:55 WIB
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Entertainment,Transfer
jago_101,"CGV Cinemas
 D
 Top up saldo game
 Rp61.427
 ID
 Transaksi
 39KMC8RENP
 Sumber akun
 KEZIA AUREL WINATA
 Jago EH82NXK4UZ62
 Sumber Dana
 TBFL9A9EQWHM
 Nama Acquirer
 Bank Mandiri
 Tanggal & wae I transaksi
 26 Okt 2025, 20:10 WIB
 Biaya
 Gratis
 3 Jago
 OID Terminal
 99882424
 PAN Penyedia
 YXYVRGLEM5ZLCR4LAY9
 Jago
 Saoo JagopJago
 PAN Pelanggan
 RRLE648DUDSUC4RL3EX
 Nomor Referensi
 liap2dm13999
 Resi
 ini
 e Jago Jago
 Jagooo Jagoo Jago
 AD
 merupakan bukti transaksi y
 Ada pertanyaan?
 yang sah
 Hubungi Tanya Jago 24/7",Entertainment,Qris
jago_102,"Bioskop Lokal
 Rp16.395
 Top up saldo game
 PZKZ598VJT
 Sumber akun
 go
 KEZIA AUREL WINATA
 Jago A2JBSWR4S3JJ
 Sumber Dana
 3GMB6KEHUJVW
 Nama Acquirer
 GoPay
 3 Jago
 Biaya
 Gratis
 Tanggal & waktu transaksi
 27 Sep 2025, 20:55 WIB
 ID Terminal
 A01
 PAN Penyedia
 QLMM2NCDA27E3MQSWCR
 Jage
 PAN Pelanggan
 VU9GDWVUNEWNYEW4GEE
 LEE,
 oco Jago
 Nomor Referensi
 1heas7925737
 As
 ooa lago
 Ada pertanyaan?
 Sukses
 Jago Jago
 Hubungi Tanya Jago 24/7
 o Jago Jago
 Resi ini merupakan bukti transaksi yang sah",Entertainment,Qris
jago_103,"Top Up Game
 Rp2.306
 Pembayaran rekreasi keluarga
 6823EQBD5C
 Sumber akun
 KEZIA AUREL WINATA
 Jago 357R32W9QFC8
 Sumber Dana
 ZP6SR892V2AL
 Nama Acquirer
 BCA
 Tanggal & waktu transaksi
 21 Sep 2025. 01:20 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 PAN Penyedia
 V3KFMFV27GL5PXZNSFB
 A01
 Jago
 o Jago
 Nomor Referensi
 Ih7zf2g11015
 PAN Pelanggan
 SKNRT2L37357TM2TGNP
 e Jago
 aco Jago
 e Jago
 KT
 Ada pertanyaan?
 lago
 Hubungi Tanya Jago 24/7
 Resi ini merupakan bukti transaksi yang sah
 Jago",Entertainment,Qris
jago_104,"Karaoke Keluarga
 Rp10.902
 Pembayaran acara akhir pekan
 66RAKGVN7Z
 Sumber akun
 KEZIA AUREL WINATA
 Jago ZLJ5DVN43RQ7
 Sumber Dana
 BEF5NKD998XK
 Nama Acquirer
 BCA
 3 Jago
 Tanggal & waktu transaksi
 25 Sep 2025, 14:55 WIB
 Biaya
 Gratis
 ID Terminal
 Jago
 A01
 Jago
 PAN Penyedia
 YUVAEEMGNZTYDLC9T3L
 Nomor Referensi
 lhcOp1795695
 PAN Pelanggan
 QYS4NN5FWQPCYMBZ98L
 Jago
 Sco Jago
 ao Jago
 ooo Jago
 DF
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Entertainment,Qris
jago_105,"CGV Cinemas
 T
 Pembayaran acara akhir pekan
 B
 DAHLAN ES TELER 95 KHAS
 -Rp16.076
 ID Transaksi
 V2P7ZAYMSB
 Dari
 Jajann
 Sumber Dana
 LM4PQU6ZFR3M
 Tanggal dan waktu
 5 September 2025, 09.18
 Biaya
 Gratis
 PAN Penyedia
 ZJB5BPGPZUHLR579NPS
 ID Terminal
 A01
 Kategori
 .ll
 Makanan & Minuman
 Saya Butuh Bantuan
 DB
 56",Entertainment,E-Wallet
jago_106,"Bioskop Lokal
 BCA Q98SC7PCX6
 Top up saldo game
 Rp40.359
 ID Transaksi
 Sumber akun
 JQL2K3CAU7N9Q8DBZJ9X7Y
 KEZIA AUREL WINATA
 Jago 6ESGZS7HNXEV
 Jago
 18 Sep 2O25, 07:45 WIB
 Tanggal & waktu transaksi
 ooo Jago
 Jago
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Entertainment,Transfer
jago_107,"Bioskop Lokal
 NEISHA
 Langganan konten digital
 Rplo.O
 Transaksi
 3 Jago
 Sumber akun
 ZANKUDS4DHBQ69Z5BZKY36
 KEZIA AUREL WINATA
 Jago 7Q6QB7QFY9KL
 Jago
 Jego
 Tanggal & waktu transaksi
 10 Okt 2025, 00:55 WIB
 Jago
 oco Jago
 JN
 Ada pertanyaan?
 O Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 sgo",Entertainment,Transfer
livin_108,"Event Organizer
 Transfer Berhasil!
 Pembayaran acara akhir pekan
 KA
 famc
 CHANDRA DIFTA NUGRAHA
 Lihat Resi
 Penerima
 VPD7MNKALK
 Bank Central Asia
 Bagikan Resi
 .
 •.....9530
 Rp 138.591
 Nominal
 dari ALBERT GIVANNO CAHYO
 Tujuan Transaksi
 Pembelian
 l 4G 58
 Simpan ke Daftar
 Jumat-Minggu Beli Tiket KAI
 Hemat s.d. 25%
 di liyn
 SUKHA
 X",Entertainment,Transfer
livin_109,"Voucher Game Online
 Transfer
 Pembelian tiket hiburan
 21 Okt 2021 - 13:00:21 WIB No. Ref. HHPPBFRQGRP5A3VWY
 Penerimna
 SARWIT BINTI HOLIK
 Bank Mandiri -
 Detal Transaksi
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 ADNAN BALFAS
 Bank Mandiri -
 866
 ...7267
 Sesama Bank Mandiri
 Rp 1.839.218
 X",Entertainment,Transfer
