Nama File,Hasil OCR,Kategori,Method
shopee_400,"ShopeePay
 00.40
 Bayar Ke
 Google Play
 Rincian Pesanan
 Langganan Google One
 Order
 Order ID G32U8mZjk4Y8x5uiAU
 Waktu Selesai 23-05-2024 00:40
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP24052304938268000O0
 Berhasil
 Total
 -Rp 29.859",Entertaiment,E-Wallet
shopee_401,"ShopeePay
 03.47
 Bayar Ke
 Netflix
 Rincian Pesanan
 Netflix Subscription
 Order
 INV NFX-2025-09152
 Waktu Selesai 24-06-2025 03:47
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25062404950613677O9
 Berhasil
 Total
 -Rp 120.000",Entertaiment,E-Wallet
shopee_402,"ShopeePay
 06.54
 Bayar Ke
 YouTube Premium
 Rincian Pesanan
 YouTube Premium
 Order
 YT-PP-2024-55231
 Waktu Selesai 25-07-2024 06:54
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP24072504962959344O8
 Berhasil
 Total
 -Rp 59.000",Entertaiment,E-Wallet
shopee_403,"ShopeePay
 09.01
 Bayar dengan QRIS
 Rincian Pembayaran
 Mobile Legends
 Top up Diamonds
 Order/Ref
 ID 123456789 (9876)
 Waktu Selesai 26-08-2025 09:01
 Metode Pembayaran
 QRIS
 Merchant Ref ID
 SP25082604975305011O7
 Berhasil
 Total
 Rp 45.000",Entertaiment,Qris
shopee_404,"ShopeePay
 12.08
 Bayar Ke
 mtix by XXI
 Rincian Pesanan
 Tiket bioskop
 Order
 Invoice 231167938
 Waktu Selesai 27-09-2024 12:08
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP24092704987650688O6
 Berhasil
 Total
 -Rp 118.000",Entertaiment,E-Wallet
shopee_405,"ShopeePay
 15.15
 Bayar Ke
 Karaoke
 Rincian Pesanan
 Bayar karaoke
 Order
 Bill No 180672856
 Waktu Selesai 01-10-2025 15:15
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25100104999996355O5
 Berhasil
 Total
 -Rp 175.000",Entertaiment,E-Wallet
shopee_406,"ShopeePay
 Bukti Pembayaran
 02 Nov 2024 · 18:22:26 WIB
 Virtual Account
 Produk: Selfietime AEON
 VA: 0000000003709622
 Rincian: Photobooth
 Total
 Rp 45.000
 ID: SP24110205012342022O4
 Berhasil",Entertaiment,Virtual Account
shopee_407,"ShopeePay
 21.29
 Bayar Ke
 Concert Ticket
 Rincian Pesanan
 Tiket konser
 Order
 Order CT-2025-77421
 Waktu Selesai 03-12-2025 21:29
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25120305024687699O3
 Berhasil
 Total
 -Rp 350.000",Entertaiment,E-Wallet
shopee_408,"ShopeePay
 00.36
 Bayar dengan QRIS
 Rincian Pembayaran
 Google Play
 Langganan Google One
 Order/Ref
 Order ID G32U8mZjk4Y8x5uiAU
 Waktu Selesai 04-01-2024 00:36
 Metode Pembayaran
 QRIS
 Merchant Ref ID
 SP24010405037033366O2
 Berhasil
 Total
 Rp 29.859",Entertaiment,Qris
shopee_409,"ShopeePay
 03.43
 Bayar Ke
 Netflix
 Rincian Pesanan
 Netflix Subscription
 Order
 INV NFX-2025-09152
 Waktu Selesai 05-02-2025 03:43
 Metode Pembayaran
 ShopeePay
 Merchant Ref ID
 SP25020505049379033O1
 Berhasil
 Total
 -Rp 120.000",Entertaiment,E-Wallet
gopay_410,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 GoPay Saldo
 Waktu
 06:50
 Tanggal
 06 Mar 2024
 ID transaksi
 GP24030605061724700O0
 Order ID
 Bill No 180672856
 Merchant
 Karaoke
 Deskripsi
 Bayar karaoke
 Jumlah
 Rp 175.000
 Total
 Rp 175.000
 Bagiin bukti bayar
 Waktunya isi GoPay, nih!",Entertaiment,E-Wallet
gopay_411,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 GoPay Saldo
 Waktu
 09:57
 Tanggal
 07 Apr 2025
 ID transaksi
 GP25040705074070377O9
 Order ID
 Receipt 240593244
 Merchant
 Selfietime AEON
 Deskripsi
 Photobooth
 Jumlah
 Rp 45.000
 Total
 Rp 45.000
 Bagiin bukti bayar
 Waktunya isi GoPay, nih!",Entertaiment,E-Wallet
gopay_412,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 GoPay Saldo
 Waktu
 12:04
 Tanggal
 08 Mei 2024
 ID transaksi
 GP24050805086416044O8
 Order ID
 Order CT-2025-77421
 Merchant
 Concert Ticket
 Deskripsi
 Tiket konser
 Jumlah
 Rp 350.000
 Total
 Rp 350.000
 Bagiin bukti bayar
 Waktunya isi GoPay, nih!",Entertaiment,E-Wallet
gopay_413,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 QRIS
 Waktu
 15:11
 Tanggal
 09 Jun 2025
 ID transaksi
 GP25060905098761711O7
 Order ID
 Order ID G32U8mZjk4Y8x5uiAU
 Merchant
 Google Play
 Deskripsi
 Langganan Google One
 Jumlah
 Rp 29.859
 Total
 Rp 29.859
 Bagiin bukti bayar",Entertaiment,Qris
gopay_414,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 GoPay Saldo
 Waktu
 18:18
 Tanggal
 10 Jul 2024
 ID transaksi
 GP24071005111107388O6
 Order ID
 INV NFX-2025-09152
 Merchant
 Netflix
 Deskripsi
 Netflix Subscription
 Jumlah
 Rp 120.000
 Total
 Rp 120.000
 Bagiin bukti bayar
 Waktunya isi GoPay, nih!",Entertaiment,E-Wallet
gopay_415,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 GoPay Saldo
 Waktu
 21:25
 Tanggal
 11 Agu 2025
 ID transaksi
 GP25081105123453055O5
 Order ID
 YT-PP-2024-55231
 Merchant
 YouTube Premium
 Deskripsi
 YouTube Premium
 Jumlah
 Rp 59.000
 Total
 Rp 59.000
 Bagiin bukti bayar
 Waktunya isi GoPay, nih!",Entertaiment,E-Wallet
gopay_416,"GoPay
 Bukti Transaksi
 12 Sep 2024 · 00:32:16 WIB
 Virtual Account
 Merchant
 Mobile Legends
 VA
 0000000003800992
 Deskripsi
 Top up Diamonds
 Total
 Rp 45.000
 ID Transaksi GP24091205135798722O4
 Berhasil",Entertaiment,Virtual Account
gopay_417,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 GoPay Saldo
 Waktu
 03:39
 Tanggal
 13 Okt 2025
 ID transaksi
 GP25101305148144399O3
 Order ID
 Invoice 231167938
 Merchant
 mtix by XXI
 Deskripsi
 Tiket bioskop
 Jumlah
 Rp 118.000
 Total
 Rp 118.000
 Bagiin bukti bayar
 Waktunya isi GoPay, nih!",Entertaiment,E-Wallet
gopay_418,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 QRIS
 Waktu
 06:46
 Tanggal
 14 Nov 2024
 ID transaksi
 GP24111405160490066O2
 Order ID
 Bill No 180672856
 Merchant
 Karaoke
 Deskripsi
 Bayar karaoke
 Jumlah
 Rp 175.000
 Total
 Rp 175.000
 Bagiin bukti bayar",Entertaiment,Qris
gopay_419,"GoPay
 Rincian Transaksi
 Status
 Selesai
 Metode pembayaran
 GoPay Saldo
 Waktu
 09:53
 Tanggal
 15 Des 2025
 ID transaksi
 GP25121505172835733O1
 Order ID
 Receipt 240593244
 Merchant
 Selfietime AEON
 Deskripsi
 Photobooth
 Jumlah
 Rp 45.000
 Total
 Rp 45.000
 Bagiin bukti bayar
 Waktunya isi GoPay, nih!",Entertaiment,E-Wallet
livin_420,"livin
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 16 Jan 2024 - 12:00:00 WIB · No. Ref.
 24011605185181400O0
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 70011602153
 Detail Transaksi
 Nominal Transfer
 Metode Transfer
 No. Referensi
 BI Fast
 Biaya Transaksi
 Rp 2.500
 Total Transaksi
 Rp 61.500
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -........1725
 Keterangan Transaksi
 YouTube Premium
 Rp 59.000",Entertaiment,Transfer
livin_421,"liyin
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 17 Feb 2025 - 15:07:11 WIB · No. Ref.
 25021705197527077O9
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 70011602153
 Detail Transaksi
 Nominal Transfer
 Metode Transfer
 No. Referensi
 Sesama Bank Mandiri
 Biaya Transaksi
 Rp 0
 Total Transaksi
 Rp 45.000
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -........1725
 Keterangan Transaksi
 Top up Diamonds
 Rp 45.000",Entertaiment,Transfer
livin_422,"ligin
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 18 Mar 2024 - 18:14:22 WIB · No. Ref.
 24031805209872744O8
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 70011602153
 Detail Transaksi
 Nominal Transfer
 Metode Transfer
 No. Referensi
 Lainnya
 Biaya Transaksi
 Rp 0
 Total Transaksi
 Rp 118.000
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -........1725
 Keterangan Transaksi
 Tiket bioskop
 Rp 118.000",Entertaiment,Transfer
livin_423,"lyin
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 19 Apr 2025 - 21:21:33 WIB · No. Ref.
 25041905222218411O7
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 70011602153
 Detail Transaksi
 Nominal Transfer
 Metode Transfer
 No. Referensi
 BI Fast
 Biaya Transaksi
 Rp 2.500
 Total Transaksi
 Rp 177.500
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -........1725
 Keterangan Transaksi
 Bayar karaoke
 Rp 175.000",Entertaiment,Transfer
livin_424,"livin
 by mandiri
 QRIS
 Pembayaran Berhasil!
 20 Mei 2024 · 00:28:44 WIB No. Ref.
 24052005234564088O6
 Merchant
 Selfietime AEON
 Detail
 Photobooth
 Order/Ref
 Receipt 240593244
 Nominal
 Rp 45.000",Entertaiment,Qris
livin_425,"liyin
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 21 Jun 2025 - 03:35:55 WIB · No. Ref.
 25062105246909755O5
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 70011602153
 Detail Transaksi
 Nominal Transfer
 Metode Transfer
 No. Referensi
 Lainnya
 Biaya Transaksi
 Rp 0
 Total Transaksi
 Rp 350.000
 Rekening Sumber
 JEANNETTE MILA HARDI
 Bank Mandiri -........1725
 Keterangan Transaksi
 Tiket konser
 Rp 350.000",Entertaiment,Transfer
livin_426,"ligin
 by mandiri
 Virtual Account
 Pembayaran Berhasil!
 22 Jul 2024 · 06:42:06 WIB No. Ref.
 24072205259255422O4
 Penerima
 Google Play
 No. VA
 0000000003892362
 Rincian
 Langganan Google One
 Total
 Rp 29.859
 Keterangan
 Order ID G32U8mZjk4Y8x5uiAU",Entertaiment,Virtual Account
