Nama File,Hasil OCR,Kategori,Method
jago_100,"Bubur Ayam Spesial
 Rp18.000
 ID Transaksi
 0433218196
 Sumber akun
 BUDI SANTOSO
 Jago 013389083863
 Sumber Dana
 794026542351
 Nama Acquirer
 Tanggal & waktu transaksi
 19 Feb 2025, 08:24 WIB
 GoPay
 Biaya
 Gratis
 3 Jago
 PAN Merchant
 9360091437575157246
 ID Terminal
 A01
 PAN Pelanggan
 9360054210414649045
 Nomor Referensi
 Jago
 1hlekox69748
 Jago
 oeo Jogo
 oco Jago
 ooo Jago
 SC
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Food and Beverages,Qris
jago_101,"Soto Betawi H. Salim
 Rp75.000
 ID Transaksi
 9407816184
 Sumber akun
 MAYA SARI
 Jago 593103413164
 Sumber Dana
 752553419283
 Nama Acquirer
 Bank Mandiri
 Tanggal & waktu transaksi
 14 Jul 2025, 11:29 WIB
 Biaya
 3 Jago
 Gratis
 ID Terminal
 PAN Merchant
 9360000801444497101
 A01
 Jago
 Jago
 Nomor Referensi
 1i1t5iy46068
 PAN Pelanggan
 9360054210290202406
 Jago
 aco Jago
 Jago
 ago
 oo Jago
 Sukses
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Food and Beverages,Qris
jago_102,"Mie Ayam Baso
 Rp250.000 Jago
 ID Transaksi
 3503056413
 Sumber akun
 MAYA SARI
 Jago 537672423884
 Sumber Dana
 969653287101
 Nama Acquirer
 Tanggal & waktu transaksi
 23 Mar 2025, 10:40 WIB
 BCA
 3 Jago
 Biaya
 Gratis
 ID Terminal
 PAN Merchant
 9360001400027523588
 A01
 Jago
 PAN Pelanggan
 9360054210414649045
 Nomor Referensi
 1hx4m7j08044
 Jago
 oco Jago
 aco Jago
 oo Jago
 DF
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Food and Beverages,Qris
jago_103,"Gado-Gado
 Rp120.000
 ID Transaksi
 9166978480
 Sumber akun
 SITI AISYAH
 Jago 845146270482
 Sumber Dana
 814893252880
 Nama Acquirer
 Bank Mandiri
 Tanggal & waktu transaksi
 10 Jan 2025. 16:31 WIR
 Biaya
 Gratis
 3 Jago
 ID Terminal
 PAN Merchant
 9360000801444497101
 A01
 Nomor Referensi
 Jago
 Jago
 PAN Pelanggan
 9360054210414649045
 Ihtv8je48595
 Jago
 ooo Jago
 aco Jago
 oso Jago
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Food and Beverages,Qris
jago_104,"Kopi Kenangan
 Jakarta Selatan
 Rp75.000
 ID Transaksi
 4303911718
 Sumber akun
 ANDI PRATAMA
 Jago 278248963834
 Sumber Dana
 657871331509
 Nama Acquirer
 Bank Mandiri
 Biaya
 Tanggal & waktu transaksi
 O1 Nov 2025. 13:37 WIB
 Gratis
 3 Jago
 ID Terminal
 A01
 PAN Merchant
 9360000801077437879
 PAN Pelanggan
 9360054210414649045
 Nomor Referensi
 1ihócla11047
 Resi
 Jago
 Jago
 Ini
 e Jago Jago
 oge Jago
 BS
 Ada pertanyaan?
 olago
 Sukses
 e Jago
 Hubungi Tanya Jago 24/7
 merupakan bukti transaksi yang sah",Food and Beverages,Qris
jago_105,"Martabak Bang Udin
 Rp9.000
 ID Transaksi
 2350877O19
 Sumber akun
 SITI AISYAH
 Jago 031051834738
 Sumber Dana
 299737631165
 Nama Acquirer
 Tanggal & waktu transaksi
 28 Agu 2025, 19:26 WIB
 BCA
 Biaya
 Gratis
 3 Jago
 ID Terminal
 jago
 PAN Merchant
 9360001400017990003
 A01
 PAN Pelanggan
 9360054210414649045
 Nomor Referensi
 lhawvgn49807
 Jago
 Jago
 aco Jago
 Ky
 oo Jago
 lago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Food and Beverages,Qris
jago_106,"Nasi Uduk Kebon Kacang
 Rp12.000
 ID Transaksi
 1065133387
 Sumber akun
 ANDI PRATAMA
 Jago 624731781080
 Sumber Dana
 132677360260
 Nama ACquirer
 3 Jago
 Tanggal & waktu u transaksi
 21 Agu 2025, 18:16 WIB
 BCA
 Biaya
 Gratis
 PAN Merchant
 ID Terminal
 3
 Jago
 A01
 9360001400018927608
 PAN Pelanggan
 9360054210414649045
 Nomor Referensi
 1hdpj5p78539
 aoo Jago
 ooo Jago
 oso Jago
 WH
 aoo Jago
 Aago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Food and Beverages,Qris
jago_107,"Nasi Goreng Kambing
 Rp120.000
 ID Transaksi
 8723430980
 Sumber akun
 AGUS SETIAWAN
 Jago 009788208121
 Sumber Dana
 913619399091
 Nama Acquirer
 3 Jago
 Tanggal & waktu u transaksi
 26 Okt 2025, 19:42 WIB
 BCA
 Biaya
 Gratis
 Jago
 ID Terminal
 A01
 Jago
 PAN Merchant
 9360001400027523588
 Nomor Referensi
 1h8ouli04162
 PAN Pelanggan
 9360054210414649045
 Jago
 Saoo Jago
 Saoo Jago
 Jago
 DE
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Food and Beverages,Qris
livin_108,"22:20
 Bakmi Jawa
 Transfer
 Transfer Berhasil
 09 Des 2025- 14:13:00- No. Ref. 534624751079911838
 Penerima
 Livia Mandira
 Bank Mandiri - 425135427849
 Detail Transaksi
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 Amanda Kirana
 Bank Mandiri - .*.*..9237
 Keterangan Transaksi
 Makan siang team
 Sesama Bank Mandiri
 Bagikan Resi
 Rp200.000
 Download
 X",Food and Beverages,Transfer
livin_109,"Warung Nasi Padang
 QR Bayar
 Pembayaran Berhasil!
 06 Des 2025 - 15:59 - No Ref 124118244935348
 Penerima
 Indomaret Point
 JAKARTA SELATAN, ID
 Detail Transaksi
 Total Transaksi
 Sumber Dana
 NURUL HIDAYAH
 Bank Mandiri - so3118
 No. Referensi QRIS
 Pengakuisisi
 Merchant PAN
 Customer PAN
 Terminal ID
 h Bagikan Resi
 Rp45.000O0
 016400524278
 Bank Mandiri
 680112805982620450
 9360000812072646505
 A01
 Download
 X",Food and Beverages,Qris
