Nama File,Hasil OCR,Kategori,Method
jago_100,"Klinik Pratama
 Rp5.069
 Pembayaran konsultasi dokter
 3KCJHQJKCD
 Sumber akun
 KEZIA AUREL WINATA
 Jago 64PFHB3XNPX3
 Sumber Dana
 RPP4DDMYJPK2
 Nama Acquirer
 Tanggal & waktu transaksi
 24 Sep 2025, 01:35 WIB
 BCA
 Biaya
 Gratis
 3 Jago
 ID Terminal
 jago
 PAN Penyedia
 6PP5ZNXQ8CSXUX38WPG
 A01
 PAN Pelanggan
 VMUFMNBZG3UVNH7NX63
 Nomor Referensi
 lhawvgn49807
 Jago
 Jago
 aco Jago
 Ky
 oo Jago
 lago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Health,Qris
jago_101,"BPJS Kesehatan
 BCA HNNXLK8D9T
 Pembayaran layanan kesehatan
 ID Transaksi
 3 Jago
 9CH9J9BS98YRAG2U6MCJHD
 Sumber akun
 KEZIA AUREL WINATA
 Jago PNVM73QN7V7W
 Tanggal & waktu transaksi
 17 Okt 2025, 04:20 WIB
 Jago
 Jagoo Jago
 JD
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Health,Transfer
jago_102,"Apotek Sehat
 Rp20.038
 Pembayaran perawatan rutin
 U2LCH5PKR2
 Sumber akun
 KEZIA AUREL WINATA
 Jago P5VRTCC8TSN5
 Sumber Dana
 ZP3C62NRPWYV
 Nama Acquirer
 3 Jago
 Tanggal & waktu u transaksi
 22 Sep 2025, 12:25 WIB
 BCA
 Biaya
 Gratis
 Jago
 ID Terminal
 A01
 Jago
 PAN Penyedia
 ZHPER896TM4CE8KV8AA
 Nomor Referensi
 1h8ouli04162
 PAN Pelanggan
 TUVRV3QRKWGNBZ9V8SV
 Jago
 Saoo Jago
 Saoo Jago
 Jago
 DE
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Health,Qris
jago_103,"Konsultasi Online
 D
 Pembelian obat dan vitamin
 Rp72.601
 ID
 Transaksi
 RRD4WTGDWR
 Sumber akun
 KEZIA AUREL WINATA
 Jago 5KDVWC4Q6KEB
 Sumber Dana
 86T88AXRLF7Y
 Nama Acquirer
 Bank Mandiri
 Tanggal & wae I transaksi
 26 Okt 2025, 05:05 WIB
 Biaya
 Gratis
 3 Jago
 OID Terminal
 17635492
 PAN Penyedia
 3W2N4QD6C463JW5RSF7
 Jago
 Saoo JagopJago
 PAN Pelanggan
 VNJ27QTXX4WT64XEMQS
 Nomor Referensi
 liap2dm13999
 Resi
 ini
 e Jago Jago
 Jagooo Jagoo Jago
 AD
 merupakan bukti transaksi y
 Ada pertanyaan?
 yang sah
 Hubungi Tanya Jago 24/7",Health,Qris
jago_104,"Apotek Sehat
 Rp12.236
 Biaya pemeriksaan kesehatan
 5NFGX98YK5
 Sumber akun
 KEZIA AUREL WINATA
 Jago DSWWVDWHQMSJ
 Sumber Dana
 26WSELKK8K57
 Nama Acquirer
 Tanggal & waktu transaksi
 29 Sep 2025, 09:25 WIB
 BCA
 Biaya
 3 Jago
 Gratis
 ID Terminal
 o Jago
 PAN Penyedia
 M7JY29N8XA9ZNJ8VLPG
 PAN Pelanggan
 9YJEULEGBDYMREZ44VD
 A01
 Nomor Referensi
 Ihggwcn59484
 Jago
 aco Jago
 Jago
 DE
 Ada pertanyaan?
 ago
 Hubungi Tanya Jago 24/7
 Resi ini merupakan bukti transaksi yang sah
 Jago",Health,Qris
jago_105,"Apotek Sehat
 BOGOR
 Pembayaran layanan kesehatan
 ID Transaksi
 CYEK3UGWRR
 Sumber Dana
 Sumber akun
 KEZIA AUREL WINATA
 Jago 8Y45LSARPBKG
 N9QY7LU7ZQTY
 Nama Acquirer
 GoPay
 Tanggal & waktu transaksi
 05 Nov 2025, 08:15 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 A01
 Jago
 go Jago
 PAN Penyedia
 T7X2N54CB7X84F79BAR
 Nomor Referensi
 1im4ne539515
 Resi
 PAN Pelanggan
 D3U3TF6RL6R3M9QJTXC
 Ini
 oge Jago
 oge Jago
 Ada pertanyaan?
 So
 lago
 o Jago
 Sukses
 oco Jago
 Hubungi Tanya Jago 24/7
 merupakan bukti transaksi yang sah",Health,Qris
jago_106,"BPJS Kesehatan
 Rp10.532
 Pembayaran layanan kesehatan
 C7G6H72VLE
 Sumber akun
 KEZIA AUREL WINATA
 Jago LUZTJHKSEEP9
 Sumber Dana
 6PSGD2DCCNKS
 Nama Acquirer
 Tanggal & waktu u transaksi
 20 Sep 2025, 17:00 WIB
 GoPay
 Biaya
 3 Jago
 Gratis
 ID Terminal
 PAN Penyedia
 FFEEJW2UWHZDL59Q8QB
 A01
 Jago
 PAN Pelanggan
 YRQKD7KH3ZFS8XU3YG2
 Nomor Referensi
 Ih719hd19137
 Jago
 Jago
 oeo Jago
 Jago
 SO
 oco Jago
 ago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Health,Qris
jago_107,"Rumah Sakit Umum
 Rp10.809
 Biaya pemeriksaan kesehatan
 H9JNYNXBST
 Sumber akun
 KEZIA AUREL WINATA
 Jago UZPWNF5WSKR7
 Sumber Dana
 CVYXSSY5AP6W
 Nama Acquirer
 BCA
 3 Jago
 Tanggal & waktu transaksi
 25 Sep 2025, 18:50 WIB
 Biaya
 Gratis
 ID Terminal
 Jago
 A01
 Jago
 PAN Penyedia
 VWZ3A3CAFVP4585WMGD
 Nomor Referensi
 lhcOp1795695
 PAN Pelanggan
 FN2F59TLGR5Y4DTSMBW
 Jago
 Sco Jago
 ao Jago
 ooo Jago
 DF
 Resi ini merupakan bukti transaksi yang sah
 Ada pertanyaan?
 Hubungi Tanya Jago 24/7",Health,Qris
livin_108,"Apotek Sehat
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 03 Agu 2024 - 22:15:22 WIB · No. Ref.
 KZNUB5L6LUN7E7C7XVM
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 4GJWBN8ADZ9
 Detail Transaksi: Biaya pemeriksaan kesehatan
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 J MILA HARDIANI C
 Sesama Bank Mandiri
 Bank Mandiri -.......9019
 Catatan Transaksi
 Dokter gigi
 Rp 406.231",Health,Transfer
livin_109,"Dokter Praktik
 Transfer Berhasil!
 Pembayaran konsultasi dokter
 Lihat Resi
 Penerima
 NAIRA MULIA AQILA
 Bank Central Asia
 GQRB28RTXT
 Bagikan Resi
 Nominal
 Rp 1.000O00
 dari ALBERT GIVANNO CAHY0
 Tujuan Transaksi
 Pembelian
 l25
 X
 Simpan ke Daftar
 Lagi Mandi, Eh Air Mati?
 Bayar biaya layanan dalam genggaman di liyin
 Bayar Sekarang",Health,Transfer
