Nama File,Hasil OCR,Kategori,Method
jago_200,"RS HERMINA
BCA 0433218196
3 Jago
Rp695.487
ID Transaksi
CBFNO6B9M80O2RAK1V
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Tanggal & waktu transaksi
01 Nov 2025, 13:32 WIB
oe Jago
Jago
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,TRANSFER
jago_201,"BPJS KESEHATAN
BCA 9310341316
3 Jago
Rp332.419
ID Transaksi
R3XKXWNREK8PK3YR9O
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Tanggal & waktu transaksi
01 Nov 2025, 13:32 WIB
oe Jago
Jago
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,TRANSFER
jago_202,"LAB PRODIA
BCA 9696532871
3 Jago
Rp806.177
ID Transaksi
DHJK1EYY37Q9AH8RVH
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Tanggal & waktu transaksi
01 Nov 2025, 13:32 WIB
oe Jago
Jago
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,TRANSFER
jago_203,"BPJS KESEHATAN
BCA 7015430391
3 Jago
Rp25.599
ID Transaksi
F5E8II49KQ71N8MTZX
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Tanggal & waktu transaksi
01 Nov 2025, 13:32 WIB
oe Jago
Jago
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,TRANSFER
jago_204,"BPJS KESEHATAN
BCA 1834738299
3 Jago
Rp57.938
ID Transaksi
4P40MGG1W103DGDZVG
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Tanggal & waktu transaksi
01 Nov 2025, 13:32 WIB
oe Jago
Jago
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,TRANSFER
jago_205,"SILOAM HOSPITALS
BEKASI
ID Transaksi
7736026064
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Sumber Dana
104146490466
Nama Acquirer
Tanggal & waktu transaksi
03 Okt 2025, 18:08 WIB
QRIS
Biaya
Gratis
3 Jago
PAN Merchant
9360091437575157246
ID Terminal
A01
PAN Pelanggan
7468723430980500978
Nomor Referensi
Jago
7kd6fleepzhp
Jago
oeo Jogo
oco Jago
ooo Jago
SC
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,QRIS
jago_206,"KLINIK SENTUL
BANDUNG
ID Transaksi
1699854353
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Sumber Dana
104146490466
Nama Acquirer
Tanggal & waktu transaksi
03 Okt 2025, 18:08 WIB
QRIS
Biaya
Gratis
3 Jago
PAN Merchant
9360091437575157246
ID Terminal
A01
PAN Pelanggan
4624751079911838425
Nomor Referensi
Jago
epxsk28t7a9t
Jago
oeo Jogo
oco Jago
ooo Jago
SC
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,QRIS
jago_207,"SILOAM HOSPITALS
DEPOK
ID Transaksi
1182449353
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Sumber Dana
104146490466
Nama Acquirer
Tanggal & waktu transaksi
03 Okt 2025, 18:08 WIB
QRIS
Biaya
Gratis
3 Jago
PAN Merchant
9360091437575157246
ID Terminal
A01
PAN Pelanggan
4874016400524278680
Nomor Referensi
Jago
hej8cx9j1ict
Jago
oeo Jogo
oco Jago
ooo Jago
SC
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,QRIS
jago_208,"KLINIK SENTUL
DEPOK
ID Transaksi
3315869232
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Sumber Dana
104146490466
Nama Acquirer
Tanggal & waktu transaksi
03 Okt 2025, 18:08 WIB
QRIS
Biaya
Gratis
3 Jago
PAN Merchant
9360091437575157246
ID Terminal
A01
PAN Pelanggan
2602563421607337543
Nomor Referensi
Jago
obmzvrerw6z8
Jago
oeo Jogo
oco Jago
ooo Jago
SC
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,QRIS
jago_209,"KLINIK SENTUL
BOGOR
ID Transaksi
4294019655
Sumber akun
KEZIA AUREL WINATA
Jago 104146490466
Sumber Dana
104146490466
Nama Acquirer
Tanggal & waktu transaksi
03 Okt 2025, 18:08 WIB
QRIS
Biaya
Gratis
3 Jago
PAN Merchant
9360091437575157246
ID Terminal
A01
PAN Pelanggan
6981693406088356159
Nomor Referensi
Jago
uht6t0uzs9im
Jago
oeo Jogo
oco Jago
ooo Jago
SC
Resi ini merupakan bukti transaksi yang sah
Ada pertanyaan?
Hubungi Tanya Jago 24/7",Health,QRIS
livin_210,"ligin
by mandiri
Transfer Rupiah
Transfer Berhasil!
03 Agu 2024 - 07:52:22 WIB · No. Ref.
2408031122003180622
Penerima
KLINIK KIMIA FARMA
Bank Mandiri - 9577738721475
Detail Transaksi
Metode Transfer
Total Transaksi
Rekening Sumber
J MILA HARDIANI C
Sesama Bank Mandiri
Bank Mandiri -.......9019
Keterangan Transaksi
Layanan kesehatan
Rp 906.739",Health,TRANSFER
