Nama File,Hasil OCR,Kategori,Method
OVO_01,"X
Aktivitas
Saldo diterima
Pembayaran Berhasil
Detail Transaksi
Tanggal
Rp60.000
28 Sep 2025 •18:30
OVO Cash Terpakai
Waktu
Pembayaran berhasil
No. Referensi
Total
Nominal Pembayaran
Biaya Transaksi
Grao
Grab
Pusat Bantuan
Solusi dari masalah kamu di OVO
Rp60.000
Tutup
28 Sep 2025
6bceaad3450647a29bc8...
18:30
Rp60.000
Rp0
Rp60.000",Transport,E-WALLET
OVO_02,"X
Aktivitas
Saldo diterima
Pembayaran Berhasil
Detail Transaksi
Tanggal
Rp24.999
16 Sep 2025- 17:45
OVO Cash Terpakai
Waktu
Pembayaran berhasil
No. Referensi
Total
Nominal Pembayaran
Biaya Transaksi
Grao
Grab
Pusat Bantuan
Solusi dari masalah kamu di OVO
Rp24.999
Tutup
16 Sep 2025
5c389aa51d6c48eaab79..
17:45
Rp24.999
Rp0
Rp24.999",Transport,E-WALLET
OVO_03,"X
Aktivitas
Detail Transaksi
Pembayaran Berhasil
Tanggal
Saldo diterima
05 Oct 2025. 15:21
OVO Cash Terpakai
Waktu
Pembayaran berhasil
No. Referensi
Rp500
Total
Nominal Pembayaran
Biaya Transaksi
Grao
Grab
Pusat Bantuan
Solusi dari masalah kamu di OVO
Rp500
Tutup
05 Oct 2025
51bbd101445c4088b6da...
15:21
Rp500
Rp0
Rp500",Transport,E-WALLET
OVO_04,"X
X
15.44 N
Aktivitas
Detail Transaksi
Tanggal
OVO Cash Terpakai
Waktu
Pembayaran Berhasil
No. Referensi
Rp316.501
Nominal Pembayaran
Biaya Transaksi
Total
Grao
Grab
0l 4G78
Tutup
Rp316.501
17 Mar 2025
19:54
2754fceóel5c4d36ac..
Rp316.501
Rp0
Rp316.501",Transport,E-WALLET
OVO_05,"X
X
15.45
Aktivitas
Detail Transaksi
Tanggal
OVO Cash Terpakai
Waktu
Pembayaran Berhasil
No. Referensi
Rp13.500
Nominal Pembayaran
Biaya Transaksi
Total
Grao
Grab
l 4G (78
Tutup
Rp13.500
28 Feb 2025
18:32
8f02f3c34fb8487ca67...
Rp13.500
Rp0
Rp13.500",Transport,E-WALLET
OVO_06,"X
X
15.45
Aktivitas
Detail Transaksi
Tanggal
OVO Cash Terpakai
Waktu
Pembayaran Berhasil
No. Referensi
Rp70.440
Nominal Pembayaran
Biaya Transaksi
Total
Gra
Grab
l 4G (78
Tutup
Rp70.440
03 Jan 2025
17:09
160b78a792c4449ab8...
Rp70.440
Rp0
Rp70.440",Transport,E-WALLET
OVO_07,"X
X
15.45
Aktivitas
Detail Transaksi
Tanggal
OVO Cash Terpakai
Waktu
Pembayaran Berhasil
No. Referensi
Rp59.626
Nominal Pembayaran
Biaya Transaksi
Total
Grao
Grab
l 4G (78
Tutup
Rp59.626
02 Jan 2025
19:40
b2408335455640238...
Rp59.626
Rp0
Rp59.626",Transport,E-WALLET
OVO_08,"X
X
15.45
Aktivitas
Detail Transaksi
Tanggal
OVO Cash Terpakai
Waktu
No. Referensi
Pembayaran Berhasil
Rp566.018
Biaya Transaksi
Nominal Pembayaran
Total
Grao
Grab
l 4G (78
Tutup
Rp566.018
01 Jan 2025
20:05
8c0dd9aba082420d9..
Rp566.018
Rp0
Rp566.018",Transport,E-WALLET
OVO_09,"X
15.46
Aktivitas
Detail Transaksi
Tanggal
OVO Cash Terpakai
Waktu
No. Referensi
Pembayaran Berhasil
Rp63.630
Biaya Transaksi
Nominal Pembayaran
Total
Grao
Grab
l 4G (78
Tutup
Rp63.630
18 Dec 2024
77cbc4067fae43ab98f...
17:10
Rp63.630
Rp0
Rp63.630",Transport,E-WALLET
OVO_10,"X
15.46
Aktivitas
Detail Transaksi
Tanggal
OVO Cash Terpakai
Waktu
No. Referensi
Pembayaran Berhasil
Rp57.000
Biaya Transaksi
Nominal Pembayaran
Total
Grao
Grab
l 4G (78
Tutup
Rp57.000
14 Dec 2024
17:06
ed7afacfa427496fbal5...
Rp57.000
Rp0
Rp57.000",Transport,E-WALLET
