Nama File,Hasil OCR,Kategori,Method
Shopee_01,"16.14
Bayar Ke
Transaksi SN
Rincian Pembayaran
S Shopee Credit
Rincian Pesanan
Waktu Selesai 17-08-2025 16:11
-Rp6.023
PPSA5505611443106723307
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Berhasil
(90
Salin
O Shopee Pay telah berizin dan diawasi oleh Bank Indonesia.
Cek Selengkapnya
*Biaya (Jika Ada) Termasuk PPN
PT Airpay International Indonesia
O Kamu bisa melihat riwayat dana masuk/dana keluar untuk
saldo ShopeePay-mu di sini.",Other,E-WALLET
Shopee_02,"16.15
Bayar Ke
by. byU
Transaksi SN
Rincian Pesanan
Order SN
Rincian Pembayaran
ATK3ENfch3zdL
-Rp15.000
Waktu Selesai 16-11-2024 20:16
166658212150529366
Metode Pembayaran
ShopeePay
Merchant Ref ID
ce62a2bd9d68
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
l90
Berhasil
Salin",Bills,E-WALLET
Shopee_03,"16.14
Bayar Ke
S Shopee
Rincian Pembayaran
Order SN
Rincian Pesanan
Transaksi SN
ATRSZxrjYUmBL
Waktu Selesai 07-05-2025 12:53
120247379740009931
-Rp3.279
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
ShopeePay
Nama Penerbit
Order #1
Berhasil
Tempelan Balon / Lem Dekorasi /
Perekat Balon
(90
Salin",Shopping,E-WALLET
Shopee_04,"16.14
Bayar Ke
S
Shopee
Transaksi SN
Rincian Pembayaran
Rincian Pesanan
Order SN
ATMmsYhYcDhik
Waktu Selesai 01-06-2025 18:39
150930816188548726
-Rp4.800
Metode Pembayaran
Saldo Shopee Pay
Nama Pengakuisisi
ShopeePay
ShopeePay
Nama Penerbit
Order #1
Berhasil
Plastik JUMBO 120x200cm &
90x120 TEBAL PE Anti Sobek
(90
Salin",Shopping,E-WALLET
Shopee_05,"16.14
Bayar Ke
S Shopee
Order SN
Rincian Pesanan
Rincian Pembayaran
Transaksi SN
ATbThMUCiGbBo
-Rp21.900
169920114718242889
Waktu Selesai 07-04-2025 20:15
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Order #1
Co tweet
l90
Berhasil
Salin",Shopping,E-WALLET
Shopee_06,"16.15
Bayar Ke
S
Shopee
Transaksi SN
Rincian Pesanan
Order SN
Rincian Pembayaran
AT7sStdqTDcPq
Waktu Selesai 20-11-2024 15:07
114469595538032478
-Rp17.069
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
ShopeePay
Nama Penerbit
Order #1
Berhasil
l90
[MILOLI] 10 Rolls Washi Tape
Deco Masking Tape Jurnal DIY
Salin",Shopping,E-WALLET
Shopee_07,"16.14
Bayar Ke
S
Shopee
Transaksi SN
Rincian Pesanan
Order SN
Rincian Pembayaran
ATAAyZBJq1wFY
-Rp35.978
Waktu Selesai 20-02-2025 22:24
122668611009499973
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
ShopeePay
Nama Penerbit
Order #1
Berhasil
l90
SILKY PUDDING 155GRAM
FORISA MOMS RECIPE/Silky
Salin",Shopping,E-WALLET
Shopee_08,"15:56a
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp241.100
Waktu Selesai 03-11-2025 18:57
PPSA8064435025178015816
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
MODELONES Paket Nailart Pro
Max 52pcs Komplit untuk Pemula
& Profesional, Set Nailart dengan
Ekstensi Kuku & 2pcs Gel Kutek
Warna Random 7ml & 15ml Paket
S 86
Salin",Shopping,E-WALLET
Shopee_09,"16.14
Bayar Ke
S
Shopee
Transaksi SN
Rincian Pesanan
Order SN
Rincian Pembayaran
ATNACqvJbudCQ
Waktu Selesai 15-02-2025 14:03
164009485995976910
-Rp6.400
Metode Pembayaran
Saldo ShopeePay
Nama Pengakuisisi
ShopeePay
ShopeePay
Nama Penerbit
Order #1
Berhasil
l90
Sendok Kecil Kue| Jelly / Teh /
Pudding/Es Krim Bening STG
Salin",Shopping,E-WALLET
Shopee_10,"15:57
< Rincian Pembayaran
Bayar Ke
Transaksi SN
Shopee Marketplace
Rincian Pesanan
Rp163.820
Waktu Selesai 09-10-2025 10:04
PPSA1083994002853655551
Metode Pembayaran
Saldo ShopeePay
ShopeePay
Nama Pengakuisisi
Nama Penerbit
ShopeePay
Berhasil
Order #1
EMCN Oversized Milo Tee Travis
Scott Cactus Jack
86
Salin
O ShopeePay telah berizin dan diawasi oleh Bank Indonesia. Cek
Selengkapnya",Shopping,E-WALLET
