Nama File,Hasil OCR,Kategori,Method
jago_100,"Eiger Store
 Rp2.116
 Transaksi kebutuhan rumah tangga
 GZDPCF54ER
 Sumber akun
 KEZIA AUREL WINATA
 Jago 5DHQD3DQCJU4
 Sumber Dana
 HVMGNZGEDP95
 Nama Acquirer
 BCA
 Tanggal & waktu transaksi
 21 Sep 2025. 16:15 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 PAN Toko
 77ZVRMRFV9X6UEH4LXK
 A01
 Jago
 o Jago
 Nomor Referensi
 Ih7zf2g11015
 PAN Pelanggan
 4CEWXY97EFT8EDV6U2Y
 e Jago
 aco Jago
 e Jago
 KT
 Ada pertanyaan?
 lago
 Hubungi Tanya Jago 24/7
 Resi ini merupakan bukti transaksi yang sah
 Jago",Shopping,Qris
jago_101,"Eiger Store
 Rp17.990
 Transaksi kebutuhan rumah tangga
 PUJR339FL6
 Sumber akun
 KEZIA AUREL WINATA
 Jago TJ5T4Y2QKFMK
 Sumber Dana
 QA9MSUAK4ZWJ
 Nama ACquirer
 BCA
 Tanggal & waktu transaksi
 15 Okt 2025, 18:09 WIB
 Biaya
 Gratis
 3 Jago
 PAN Toko
 D73333G83DNEP6LHXDG
 ID Terminal
 A01
 Jago
 o Jago
 PAN Pelanggan
 KGZBEP2KSYZ8HH9788V
 Nomor Referensi
 1hyqlbp03681
 ,aco Jago
 ooo Jago
 aoo Jago
 KT
 aco Jago
 ago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Shopping,Qris
jago_102,"Alfamart
 BOGOR
 Tagihan kebutuhan rumah tangga
 ID Transaksi
 LBPZKBVFSZ
 Sumber akun
 KEZIA AUREL WINATA
 Jago YQXQNR3QN9YB
 Sumber Dana
 T8SNY6YZFQGQ
 Nama Acquirer
 Tanggal & waktu transaksi
 27 Okt 2025, 14:37 WIB
 BCA
 Biaya
 Gratis
 3 Jago
 PAN Toko
 XP8A8YFH2N8M5XF373F
 ID Terminal
 AO1
 PAN Pelanggan
 LJBK7K8YKJBAGJ5NPBS
 oco
 Nomor Referensi
 1ibwogq03770
 Resi
 o Jago
 Ini
 ogeo Jago
 oSkses
 Ada pertanyaan?
 k
 o Jago
 merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Shopping,Qris
jago_103,"Tokopedia
 BOGOR
 Transaksi kebutuhan rumah tangga
 ID Transaksi
 4JDY74JKB6
 Sumber akun
 KEZIA AUREL WINATA
 Jago AKMK8HDW8GDR
 Sumber Dana
 CG6BE6WNT68R
 Nama Acquirer
 Tanggal & waktu transaksi
 26 Okt 2025,. 11:04 WIB
 BCA
 3 Jago
 Biaya
 Gratis
 ID Terminal
 AOCLO937
 PAN Toko
 SN6J4H36WER5EPVHKZK
 Nomor Referensi
 1iamsdj03603
 Jago
 PAN Pelanggan
 J7QG39LQL53X4NYWFZB
 Resi
 aco Jago
 Ini
 oge Jago
 Ada pertanyaan?
 TB
 Hubungi Tanya Jago 24/7
 olago
 Sukses
 Jago
 merupakan bukti transaksi yang sah
 Jago",Shopping,Qris
jago_104,"Watsons
 BOGOR
 Belanja kebutuhan rumah tangga
 1O Transa
 UEHQGFSTCM
 J5S3K9WFTDM5
 Tanggal & waktu
 31 Okt 2025. 20:46 WIB
 Nama Acquirer
 BCA
 Biaya
 Gratis
 3 Jago
 ID Terminal
 PAN Toko
 TBFSFQESH7AX4TJCRHL
 A01
 Nomor Referensi
 1igmy0130420
 PAN Pelanggan
 MNVVPU6MTYBSCABN8R6
 Resi
 Ini
 Jago
 transaksi
 o Jago Jago
 geo Jago
 ,Jago
 Ada pertanyaan?
 Sukses
 oo Jago
 merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Shopping,Qris
jago_105,"Pasar Modern
 Rp27.121
 Tagihan kebutuhan rumah tangga
 PQXNJ3YDJA
 Sumber akun
 KEZIA AUREL WINATA
 Jago S5LDF2URUC7M
 Sumber Dana
 6ASZXWRCVPYM
 22 Okt 2025, 17:39 WIB
 Nama Acquirer
 Tanggal & waktu transaksi
 BCA
 3 Jago
 Biaya
 Gratis
 PAN Toko
 2F8TNRAFSFK3C3BVVQF
 ID Terminal
 A01
 Nomor Referensi
 Jago
 PAN Pelanggan
 K2W9KUKC5JBQFBCJZG2
 li6hr2i88006
 Jago
 o Jago
 ooo Jago
 KT
 Aago
 aoo Jago Jago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Shopping,Qris
jago_106,"Indomaret
 BOGOR
 Tagihan kebutuhan rumah tangga
 ID T
 SA7EFE8SES
 Sumber akun
 KEZIA AUREL WINATA
 Jago PQ792E8UCNEK
 Sumber Dana
 VJA8D9TGP9UU
 Nama Acquirer
 Tanggal 8& waktu transaksi
 22 Okt 2025, 19:05 WIB
 GoPay
 Biaya
 Gratis
 3 Jago
 PAN Toko
 7HNVF8BU7E6T2PPEFKS
 ID Terminal
 A01
 PAN Pelanggan
 JTHZQ993BLA963VK4Y2
 ago Jago
 Resi
 Nomor Referensi
 1iók53529725
 Ini
 ,ago Jagoo Jago
 oSukses
 oge Jago
 AG
 Ada pertanyaan?
 ,Jago
 oo Jago
 merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Shopping,Qris
jago_107,"Pasar Modern
 BCA X3HNAUSZE3
 Checkout kebutuhan rumah tangga
 Rp1.536o Jago
 ID Transaksi
 950908JAGBIDJAOOl
 Sumber akun
 KEZIA AUREL WINATA
 Jago EZ5TDTGDUKRT
 Jago
 Tanggal & waktu transaksi
 08 Sep 2025, 17:19 WIB
 Ada pertanyaan?
 AT
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 Jago",Shopping,Transfer
livin_108,"Eiger Store
 Transfer Berhasil!
 Transaksi kebutuhan rumah tangga
 Lihat Resi
 Penerima
 NAIRA MULIA AQILA
 Bank Central Asia
 5B3PFD46JU
 Bagikan Resi
 Nominal
 Rp 1.000O00
 dari ALBERT GIVANNO CAHY0
 Tujuan Transaksi
 Pembelian
 l25
 X
 Simpan ke Daftar
 Lagi Mandi, Eh Air Mati?
 Bayar PDAM dalam genggaman di liyin
 Bayar Sekarang",Shopping,Transfer
livin_109,"Matahari Department Store
 Pembayaran Berhasil!
 Belanja kebutuhan rumah tangga
 BUY
 70
 Lihat Resi
 Penerima
 TOSERBA YOGYA CIUMBLEIT
 BANDUNG
 Toko PAN . UVSS3RV83HLLEP9Q6X6
 Nominal Transaksi
 Rp 68.024
 4G 17
 Bagikan Resi
 X",Shopping,Transfer
