Nama File,Hasil OCR,Kategori,Method
jago_100,"GOJEK
 BOGOR
 Rp25.790
 ID Transaksi
 5116155940
 Sumber Dana
 Sumber akun
 KEZIA AUREL WINATA
 Jago 283276483503
 376724238849
 Nama Acquirer
 GoPay
 Tanggal & waktu transaksi
 04 Jun 2026, 14:00 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 A01
 Jago
 go Jago
 PAN Merchant
 9973763116566701065
 Nomor Referensi
 1im4ne539515
 Resi
 PAN Pelanggan
 9805009788208121913
 Ini
 oge Jago
 oge Jago
 Ada pertanyaan?
 So
 lago
 o Jago
 Sukses
 oco Jago
 Hubungi Tanya Jago 24/7
 merupakan bukti transaksi yang sah",Transport,Qris
jago_101,"GRABBIKE
 BOGOR
 Rp58.070
 ID Transaksi
 255405O801
 Sumber akun
 KEZIA AUREL WINATA
 Jago 940196556981
 Sumber Dana
 148465648236
 Tanggal & waktu transaksi
 20 Okt 2025, 14:28 WIB
 Nama ACquirer
 GoPay
 Biaya
 Gratis
 PAN Merchant
 5798687277434873471
 PAN Pelanggan
 6036690967054668893
 ID Terminal
 A01
 Nomor Referensi
 lihmf2752647
 Ada pertanyaan?
 SO
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7
 Sukses",Transport,Qris
jago_102,"KAI ACCESS
 Rp82.058 Jago
 ID Transaksi
 2628498776
 Sumber akun
 KEZIA AUREL WINATA
 Jago 136783777014
 Sumber Dana
 443135182337
 Nama Acquirer
 Tanggal 8& waktu transaksi
 19 Jan 2024, 14:21 WIB
 GoPay
 3 Jago
 Biaya
 Gratis
 ID Terminal
 Jago
 PAN Merchant
 9471746488771906594
 A01
 PAN Pelanggan
 2567468071545168087
 Nomor Referensi
 li4aqp983354
 Jago
 oco Jago
 aco Jago
 SO
 oco Jago
 ago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Transport,Qris
jago_103,"TRANSJAKARTA
 Rp29.138
 ID Transaksi
 8091343161
 Sumber akun
 KEZIA AUREL WINATA
 Jago 923747407482
 Sumber Dana
 440640909743
 Nama Acquirer
 Tanggal & waktu u transaksi
 11 Mei 2024, 06:08 WIB
 GoPay
 Biaya
 3 Jago
 Gratis
 ID Terminal
 PAN Merchant
 8692617964053773515
 A01
 Jago
 PAN Pelanggan
 0205395024026811775
 Nomor Referensi
 Ih719hd19137
 Jago
 Jago
 oeo Jago
 Jago
 SO
 oco Jago
 ago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Transport,Qris
jago_104,"MRT JAKARTA
 Rp9.882.00o Jago
 ID Transaksi
 2545991022
 Sumber akun
 KEZIA AUREL WINATA
 Jago 343244510762
 Sumber Dana
 596966416052
 Nama Acquirer
 Tanggal & waktu transaksi
 07 Sep 2026, 20:52 WIB
 GoPay
 3 Jago
 Biaya
 Gratis
 ID Terminal
 Jago
 PAN Merchant
 8925546659051518644
 A01
 PAN Pelanggan
 6850542357332214188
 Nomor Referensi
 lhck037O1795
 Jago
 oco Jogo
 aoo Jago
 SO
 oco Jago
 ago
 Ada pertanyaan?
 Resi ini merupakan bukti transaksi yang sah
 Hubungi Tanya Jago 24/7",Transport,Qris
jago_105,"LRT JABODEBEK
 052025111612370003BGbYrKBql
 D-2
 Rp40.637
 Transaction ID
 o 3ago
 3 Jago
 052025111612370003BGbYrKBqlD-2
 Account Source
 MICHAEL KEVIN PRATAMA
 Jago 054156676527
 Transaction date & time
 04 Jun 2025. 09:19 WIB
 NoteO
 004 - GO-CAR
 Rumah Talenta BCA
 This
 #RB-3081346-28565431
 Have a question?
 go Jago
 receipt is legitimate proof of transaction
 Ask Tanya Jago 24/7
 Jag",Transport,E-Wallet
jago_106,"TIKET BUS ANTAR KOTA
 Rp9.890
 ID Transaksi
 5289226801
 Sumber akun
 KEZIA AUREL WINATA
 Jago 995900109439
 Sumber Dana
 735925556258
 Nama Acquirer
 Tanggal & waktu transaksi
 16 Mar 2024, 09:31 WIB
 BCA
 Biaya
 3 Jago
 Gratis
 ID Terminal
 o Jago
 PAN Merchant
 2694958887947055169
 PAN Pelanggan
 6230913075626368970
 A01
 Nomor Referensi
 Ihggwcn59484
 Jago
 aco Jago
 Jago
 DE
 Ada pertanyaan?
 ago
 Hubungi Tanya Jago 24/7
 Resi ini merupakan bukti transaksi yang sah
 Jago",Transport,Qris
jago_107,"PARKIR ELEKTRONIK
 Rp12.526
 ID Transaksi
 1527420549
 Sumber akun
 KEZIA AUREL WINATA
 Jago 530174268414
 Sumber Dana
 918785191088
 Nama Acquirer
 BCA
 Tanggal & waktu transaksi
 02 Feb 2026. 02:34 WIB
 Biaya
 Gratis
 3 Jago
 ID Terminal
 PAN Merchant
 9079030673830284395
 A01
 Jago
 o Jago
 Nomor Referensi
 Ih7zf2g11015
 PAN Pelanggan
 1398373540331739363
 e Jago
 aco Jago
 e Jago
 KT
 Ada pertanyaan?
 lago
 Hubungi Tanya Jago 24/7
 Resi ini merupakan bukti transaksi yang sah
 Jago",Transport,Qris
livin_108,"TOL ELEKTRONIK
 Transfer Rupiah
 Transfer Berhasil!
 17 Feb 2024- 19:33:12 WIB No. Ref.
 3410166687002176591
 Penerima
 ALBERT GIVANNO CAHYO UTO
 Bank Central Asia - 2939685621
 Detail Transaksi - Pembayaran parkir
 Nominal Transfer
 Metode Transfer
 Tujuan Transaksi
 Biaya Transaksi
 Total Transaksi
 Rekening Sumber
 J MILA HARDIANI C
 Bank Mandiri - ....... 9019
 Keterangan Transaksi - Pembayaran parkir
 Bensin
 Rp123.025
 BI Fast
 Lainnya
 Rp66.550
 Rp50.166",Transport,Transfer
livin_109,"TAKSI ONLINE
 by mandiri
 Transfer Rupiah
 Transfer Berhasil!
 22 Nov 2024 - 19:02:41 WIB · No. Ref.
 8899375679825071461
 Penerima
 ALBERT GIVANNO CAHYO
 Bank Mandiri - 38282586736
 Detail Transaksi - Reservasi kursi
 Metode Transfer
 Total Transaksi
 Rekening Sumber
 Sesama Bank Mandiri
 JEANNETTE MILA HARDI
 Bank Mandiri - .... .9019
 Keterangan Transaksi - Reservasi kursi
 Tiket Whoosh
 Rp135.497",Transport,Transfer
